id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:397,Qwen3-8B,44,benign,norm_matched,6,final,45,0.0,0.0,0.01802750676870346,0.01863616146147251,0.015454663895070553,0.0,0.0,1.0,0.0,1.0,0.002572842873632908,-0.0006086546927690506
test:374,Qwen3-8B,44,benign,norm_matched,6,final,41,0.0,0.0,0.0367281511425972,0.027998296543955803,0.03173096477985382,0.0,0.0,0.0,0.0,1.0,0.004997186362743378,0.008729854598641396
test:1078,Qwen3-8B,44,benign,norm_matched,6,final,83,0.0,0.0,0.030095163732767105,0.029466120526194572,0.03451651334762573,0.0,0.0,0.0,0.0,0.0,-0.004421349614858627,0.0006290432065725327
test:1664,Qwen3-8B,44,benign,norm_matched,6,final,30,0.0,0.0,0.028349122032523155,0.03640042245388031,0.029690224677324295,0.0,0.0,1.0,0.0,0.0,-0.0013411026448011398,-0.008051300421357155
test:1818,Qwen3-8B,44,benign,norm_matched,6,final,58,0.0,0.0,0.04151388630270958,0.039484765380620956,0.03346621245145798,0.0,0.0,1.0,0.0,1.0,0.008047673851251602,0.002029120922088623
test:1246,Qwen3-8B,44,benign,norm_matched,6,final,104,0.0,0.0,0.04763658344745636,0.044632624834775925,0.050974033772945404,0.0,0.0,0.0,0.0,0.0,-0.003337450325489044,0.003003958612680435
test:1887,Qwen3-8B,44,benign,norm_matched,6,final,60,0.0,0.0,0.0069122170098125935,0.01646612584590912,0.019997280091047287,0.0,0.0,0.0,0.0,0.0,-0.013085063081234694,-0.009553908836096525
test:1623,Qwen3-8B,44,benign,norm_matched,6,final,32,0.0,0.0,0.04476620629429817,0.02869616448879242,0.031508032232522964,0.0,0.0,0.0,0.0,1.0,0.013258174061775208,0.016070041805505753
test:196,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.05561384558677673,0.04744129627943039,0.050325408577919006,0.0,0.0,0.0,0.0,1.0,0.005288437008857727,0.008172549307346344
test:1899,Qwen3-8B,44,benign,norm_matched,6,final,37,0.0,0.0,0.02725801058113575,0.022008487954735756,0.021332111209630966,0.0,0.0,1.0,0.0,1.0,0.005925899371504784,0.005249522626399994
test:1208,Qwen3-8B,44,benign,norm_matched,6,final,128,0.0,0.0,0.017376869916915894,0.033550016582012177,0.029105059802532196,0.0,0.0,1.0,0.0,0.0,-0.011728189885616302,-0.016173146665096283
test:1441,Qwen3-8B,44,benign,norm_matched,6,final,68,0.0,0.0,0.07104562222957611,0.05181339383125305,0.021747170016169548,0.0,0.0,1.0,0.0,1.0,0.04929845221340656,0.01923222839832306
test:1102,Qwen3-8B,44,benign,norm_matched,6,final,109,0.0,0.0,0.04918920248746872,0.04104384034872055,0.0398552305996418,0.0,0.0,1.0,0.0,1.0,0.00933397188782692,0.008145362138748169
test:76,Qwen3-8B,44,benign,norm_matched,6,final,17,0.0,0.0,0.02387535758316517,0.027228238061070442,0.016986127942800522,0.0,0.0,1.0,0.0,1.0,0.006889229640364647,-0.0033528804779052734
test:1855,Qwen3-8B,44,benign,norm_matched,6,final,42,0.0,0.0,0.053736865520477295,0.035768069326877594,0.04020359367132187,0.0,0.0,0.0,0.0,1.0,0.013533271849155426,0.0179687961935997
test:1652,Qwen3-8B,44,benign,norm_matched,6,final,31,0.0,0.0,0.05132964998483658,0.04584162309765816,0.049088094383478165,0.0,0.0,0.0,0.0,1.0,0.0022415556013584137,0.005488026887178421
test:355,Qwen3-8B,44,benign,norm_matched,6,final,3,0.0,0.0,0.039644889533519745,0.020613476634025574,0.019033605232834816,0.0,0.0,1.0,0.0,1.0,0.02061128430068493,0.01903141289949417
test:2144,Qwen3-8B,44,benign,norm_matched,6,final,101,0.0,0.0,0.03261870890855789,0.031340133398771286,0.019333908334374428,0.0,0.0,1.0,0.0,1.0,0.013284800574183464,0.0012785755097866058
test:210,Qwen3-8B,44,benign,norm_matched,6,final,24,0.0,0.0,0.024767406284809113,0.02434711530804634,0.023544324561953545,0.0,0.0,1.0,0.0,1.0,0.001223081722855568,0.0004202909767627716
